case_id,timestamp,event,grade_er
S001,2026-05-01T09:00:30,add entity,5.2
S001,2026-05-01T09:01:00,add entity,5.2
S001,2026-05-01T09:01:30,add entity,5.2
S001,2026-05-01T09:02:00,add entity,5.2
S001,2026-05-01T09:02:30,add entity,5.2
S001,2026-05-01T09:03:00,add relation,5.2
S001,2026-05-01T09:03:30,add relation,5.2
S001,2026-05-01T09:04:00,add relation,5.2
S001,2026-05-01T09:04:30,add relation,5.2
S001,2026-05-01T09:05:00,add relation,5.2
S001,2026-05-01T09:05:30,add relation,5.2
S001,2026-05-01T09:06:00,add relation,5.2
S001,2026-05-01T09:06:30,link entity-relation,5.2
S001,2026-05-01T09:07:00,link entity-relation,5.2
S001,2026-05-01T09:07:30,link entity-relation,5.2
S001,2026-05-01T09:08:00,link entity-relation,5.2
S001,2026-05-01T09:08:30,link entity-relation,5.2
S001,2026-05-01T09:09:00,link entity-relation,5.2
S001,2026-05-01T09:09:30,link entity-relation,5.2
S001,2026-05-01T09:10:00,link entity-relation,5.2
S001,2026-05-01T09:10:30,link entity-relation,5.2
S001,2026-05-01T09:11:00,link entity-relation,5.2
S001,2026-05-01T09:11:30,link entity-relation,5.2
S001,2026-05-01T09:12:00,link entity-relation,5.2
S001,2026-05-01T09:12:30,cardin. 1,5.2
S001,2026-05-01T09:13:00,cardin. N,5.2
S001,2026-05-01T09:13:30,cardin. 1,5.2
S001,2026-05-01T09:14:00,cardin. N,5.2
S001,2026-05-01T09:14:30,cardin. 1,5.2
S001,2026-05-01T09:15:00,cardin. N,5.2
S001,2026-05-01T09:15:30,cardin. 1,5.2
S001,2026-05-01T09:16:00,cardin. N,5.2
S001,2026-05-01T09:16:30,cardin. 1,5.2
S001,2026-05-01T09:17:00,cardin. N,5.2
S001,2026-05-01T09:17:30,cardin. 1,5.2
S001,2026-05-01T09:18:00,cardin. N,5.2
S001,2026-05-01T09:18:30,add attrib.,5.2
S001,2026-05-01T09:19:00,add attrib.,5.2
S001,2026-05-01T09:19:30,add attrib.,5.2
S001,2026-05-01T09:20:00,add attrib.,5.2
S001,2026-05-01T09:20:30,add attrib.,5.2
S001,2026-05-01T09:21:00,add attrib.,5.2
S001,2026-05-01T09:21:30,add attrib.,5.2
S001,2026-05-01T09:22:00,add attrib.,5.2
S001,2026-05-01T09:22:30,add attrib.,5.2
S001,2026-05-01T09:23:00,add attrib.,5.2
S001,2026-05-01T09:23:30,add attrib.,5.2
S001,2026-05-01T09:24:00,add attrib.,5.2
S001,2026-05-01T09:24:30,add attrib.,5.2
S001,2026-05-01T09:25:00,add attrib.,5.2
S001,2026-05-01T09:25:30,add attrib.,5.2
S001,2026-05-01T09:26:00,add attrib.,5.2
S001,2026-05-01T09:26:30,add attrib.,5.2
S001,2026-05-01T09:27:00,add attrib.,5.2
S001,2026-05-01T09:27:30,link attribute-entity,5.2
S001,2026-05-01T09:28:00,link attribute-entity,5.2
S001,2026-05-01T09:28:30,link attribute-entity,5.2
S001,2026-05-01T09:29:00,link attribute-entity,5.2
S001,2026-05-01T09:29:30,link attribute-entity,5.2
S001,2026-05-01T09:30:00,link attribute-entity,5.2
S001,2026-05-01T09:30:30,link attribute-entity,5.2
S001,2026-05-01T09:31:00,link attribute-entity,5.2
S001,2026-05-01T09:31:30,link attribute-entity,5.2
S001,2026-05-01T09:32:00,link attribute-entity,5.2
S001,2026-05-01T09:32:30,link attribute-entity,5.2
S001,2026-05-01T09:33:00,link attribute-entity,5.2
S001,2026-05-01T09:33:30,link attribute-entity,5.2
S001,2026-05-01T09:34:00,link attribute-entity,5.2
S001,2026-05-01T09:34:30,link attribute-entity,5.2
S001,2026-05-01T09:35:00,link attribute-entity,5.2
S001,2026-05-01T09:35:30,link attribute-entity,5.2
S001,2026-05-01T09:36:00,link attribute-entity,5.2
S001,2026-05-01T09:36:30,link att-rel,5.2
S001,2026-05-01T09:37:00,link att-rel,5.2
S001,2026-05-01T09:37:30,link att-rel,5.2
S002,2026-05-01T10:00:30,add entity,5.5
S002,2026-05-01T10:01:00,add entity,5.5
S002,2026-05-01T10:01:30,add entity,5.5
S002,2026-05-01T10:02:00,add entity,5.5
S002,2026-05-01T10:02:30,add entity,5.5
S002,2026-05-01T10:03:00,add relation,5.5
S002,2026-05-01T10:03:30,add relation,5.5
S002,2026-05-01T10:04:00,add relation,5.5
S002,2026-05-01T10:04:30,add relation,5.5
S002,2026-05-01T10:05:00,add relation,5.5
S002,2026-05-01T10:05:30,add relation,5.5
S002,2026-05-01T10:06:00,link entity-relation,5.5
S002,2026-05-01T10:06:30,link entity-relation,5.5
S002,2026-05-01T10:07:00,link entity-relation,5.5
S002,2026-05-01T10:07:30,link entity-relation,5.5
S002,2026-05-01T10:08:00,link entity-relation,5.5
S002,2026-05-01T10:08:30,link entity-relation,5.5
S002,2026-05-01T10:09:00,link entity-relation,5.5
